Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-00087,Long-eared Owl,02.02.2016,2/2/16,A,UNK,2317 N. Cleveland,Chicago,Unknown,Died within 24 hours
2016-00088,Pigeon,02.02.2016,not given,UNK,UNK,,,Unknown,Referred via public
2016-00090,Cooper's Hawk,04.02.2016,2/3/17 7 PM,A,UNK,,Berwyn,Collision - car,Euthanized after 24 hours
2016-00097,Mallard,06.02.2016,2/5/16,A,M,5750 LaGrange,LaGrange,Unknown,Euthanized after 24 hours
2016-00105,Red-tailed Hawk,07.02.2016,2/6/16 5 PM,A,UNK,21341 Timber Creek,Shorewood,Animal attack - other,Released
2016-00124,Northern Cardinal,13.02.2016,2/13/16 10 AM,A,M,5621 N. REdvale,Chicago,Unknown,Released
2016-00131,Cooper's Hawk,15.02.2016,2/15/16,A,UNK,,Elk Grove Village,Unknown,Released
2016-00132,Red-tailed Hawk,16.02.2016,2/15/16 PM,A,UNK,Gun Club on Rt 6,Morris,Unknown,Euthanized within 24 hour of admit
2016-00136,Cooper's Hawk,17.02.2016,2/13/16 PM,YoY,UNK,146th and Park Avenue,Oak Forest,Unknown,Dead on arrival
2016-00139,Red-tailed Hawk,17.02.2016,2/17/16 4:20 PM,A,UNK,Los Lagos Dr and Schick,Bloomingdale,Unknown,Died within 24 hours
2016-00166,Slate-colored Junco,27.02.2016,2/26/16 3:30 PM,A,UNK,3417 W. Parker Avenue - S side,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00167,Redhead,27.02.2016,2/25/16,A,M,6254 N. Greenview,Chicago,Unknown,Transferred
2016-00169,Cooper's Hawk,27.02.2016,2/27/16 12:45 PM,A,UNK,565 S Fairfield,Lombard,Unknown,Euthanized within 24 hour of admit
2016-00183,Cooper's Hawk,03.03.2016,3/2/16 10 AM,A,UNK,(Commuter Station) 41 St. Paul,Grayslake,Collision - other,Released
2016-00184,Snowy Owl,03.03.2016,3/3/16 8:40 AM,A,UNK,(Midway Airport) 6201 Laramie,Chicago,Collision - other,Euthanized within 24 hour of admit
2016-00186,Canada Goose,03.03.2016,3/3/16 12:15 PM,A,UNK,500 Overland,North Aurora,Shot - arrow,Died after 24 hrs
2016-00195,Red-tailed Hawk,07.03.2016,3/7/16 10 AM,A,UNK,(Guardian Construction) 10 S. Normantown Rd,Naperville,Unknown,Euthanized within 24 hour of admit
2016-00199,Herring Gull,08.03.2016,3/7/16 9 AM,A,UNK,1413 S Emerald - E side,Chicago,Unknown,Died within 24 hours
2016-00200,American Woodcock,08.03.2016,3/7/16 1 PM,A,UNK,Wells and Scott,Chicago,Unknown,Died within 24 hours
2016-00202,Northern Saw-whet Owl,08.03.2016,3/8/16 12:30 AM,A,UNK,500 W. Monroe (On sidewalk),Chicago,Collision - building,Released
2016-00203,American Woodcock,08.03.2016,3/8/16 8:10 AM,A,UNK,205 N Michigan - W sd  bld,Chicago,Collision - building,Released
2016-00204,American Woodcock,08.03.2016,3/8/16 9 AM,A,UNK,Franklin & Kinzie- NW Corner,Chicago,Collision - building,Died before exam
2016-00205,American Woodcock,08.03.2016,3/8/16 9:15 AM,A,UNK,30 W. Monroe,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00206,American Woodcock,08.03.2016,3/7/16 7:30 PM,A,UNK,205 N Michigan - W sd  bld,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00207,Red-tailed Hawk,09.03.2016,3/8/16 5 PM,A,UNK,2860 Old Willow Road,Northbrook,Collision - building,Euthanized within 24 hour of admit
2016-00208,American Woodcock,09.03.2016,3/8/16 12:20 PM,A,UNK,Dirksen Federal Building,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00210,Song Sparrow,09.03.2016,3/9/16 6:45 AM,A,UNK,"225 Michigan Plaza, E side",Chicago,Collision - building,Released
2016-00211,Song Sparrow,09.03.2016,3/9/16 8 AM,A,UNK,"10 S. Wacker, N side",Chicago,Collision - building,Released
2016-00213,American Woodcock,09.03.2016,3/9/16 10:15 AM,A,UNK,"205 N Michigan Ave, on Lake ST",Chicago,Collision - building,Died after 24 hrs
2016-00214,American Woodcock,09.03.2016,3/9/16 11:40 AM,A,UNK,Federal Plaza at old Post Office - S side,Chicago,Collision - building,Died within 24 hours
2016-00216,Cooper's Hawk,10.03.2016,3/9/16 3:45 PM,A,UNK,1438 w. Belmont,Chicago,Unknown,Euthanized after 24 hours
2016-00219,American Woodcock,10.03.2016,3/9/16 1:15 PM,A,UNK,Roscoe Village,Chicago,Unknown,Died after 24 hrs
2016-00220,American Woodcock,10.03.2016,3/9/16 3:30 PM,A,UNK,1232 w. North Ave,Chicago,Unknown,Released
2016-00222,Cooper's Hawk,10.03.2016,3/10/16 12:30 PM,A,F,Cicero Ave and Midlothian Trnpk,Crestwood,Collision - car,Released
2016-00224,American Woodcock,11.03.2016,3/10/16 3 PM,A,UNK,Citicorp -W side,Chicago,Collision - building,Released
2016-00225,American Woodcock,11.03.2016,3/10/16 12 PM,A,UNK,Hubbard/Wells in River - N sd,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00228,American Woodcock,11.03.2016,3/11/16,A,UNK,77 W. Jackson,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00229,American Woodcock,11.03.2016,3/10/16 12 AM,A,UNK,Wabash + Kinzie,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00232,American Woodcock,12.03.2016,3/12/16 11:45 AM,A,UNK,"401 S. Clinton, W sd bldg",Chicago,Collision - building,Died after 24 hrs
2016-00233,Mouring Dove,12.03.2016,3/12/16 10 AM,A,M,"3534 N. Oakley, no side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00234,Golden-crowned Kinglet,12.03.2016,3/12/16,A,M,(Salon Buzz) 1 E. Delaware Street,Chicago,Collision - building,Released
2016-00235,Fox Sparrow,12.03.2016,3/12/16,A,UNK,844 N. Rish Street - E side,Chicago,Collision - building,Released
2016-00247,Ring-billed Gull,15.03.2016,3/15/16 AM,A,UNK,no given,Chicago,Unknown,Euthanized within 24 hour of admit
2016-00248,American Woodcock,15.03.2016,3/15/16 AM,A,UNK,East Loop,Chicago,Unknown,Died before exam
2016-00254,American Woodcock,16.03.2016,3/16/16 7:25 AM,A,UNK,Hyatt Center - S Sd Bldg,Chicago,Collision - building,Released
2016-00255,American Woodcock,16.03.2016,3/16/16 7 AM,A,UNK,55 E Pearson,Chicago,Collision - building,Released
2016-00256,American Woodcock,16.03.2016,3/16/16 7:53 AM,A,UNK,311 S Wacker - N,Chicago,Collision - building,Released
2016-00257,American Woodcock,16.03.2016,3/16/16 10:30 AM,A,UNK,750 S Halsted -W,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00258,American Woodcock,16.03.2016,3/15/16 2:30 PM,A,UNK,225 W Evergreen - N,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00260,Song Sparrow,16.03.2016,3/15/16 7:52 AM,A,UNK,311 S Wacker - N side,Chicago,Collision - building,Released
2016-00265,American Woodcock,17.03.2016,3/16/16 5:45 PM,A,UNK,1025 S. State + 11th- S side,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00266,American Woodcock,17.03.2016,3/17/16 9 AM,A,UNK,"730 N. Lasalle,E side",Chicago,Collision - building,Released
2016-00267,American Woodcock,17.03.2016,3/17/16 8:30 AM,A,UNK,"(Holy Trinity) 1443 W. Division, N side",Chicago,Collision - building,Released
2016-00268,American Woodcock,17.03.2016,3/17/16 10 AM,A,UNK,"11th and Wabash, no difr",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00269,American Woodcock,17.03.2016,3/17/16 8:30 AM,A,UNK,"555 W. Monroe, N side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00270,American Woodcock,17.03.2016,3/17/16 7:40 AM,A,UNK,"1 S. Wacker, north side",Chicago,Collision - building,Died before exam
2016-00271,American Woodcock,17.03.2016,3/17/16 6 AM,A,UNK,"10 S. Wacker, no side",Chicago,Collision - building,Died within 24 hours
2016-00272,American Woodcock,17.03.2016,3/16/16 4:07 PM,A,UNK,"Dirksen, east side",Chicago,Collision - building,Released
2016-00273,American Tree Sparrow,17.03.2016,3/17/16,A,UNK,no address,Chicago,Collision - building,Died before exam
2016-00275,American Woodcock,18.03.2016,3/17/16 9:45 AM,A,UNK,3949 N LeClaire,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00276,American Woodcock,18.03.2016,3/17/16 2:30 PM,A,UNK,"Van Buren & Clark, NW Corner",Chicago,Collision - building,Released
2016-00277,American Woodcock,18.03.2016,3/17/16 3:45 PM,A,UNK,8th & Wabash,Chicago,Collision - building,Died after 24 hrs
2016-00281,American Woodcock,17.03.2016,3/17/16 9:30 AM,A,UNK,"2 N. LaSalle, east side",Chicago,Collision - building,Released
2016-00282,American Woodcock,18.03.2016,3/18/16 7 AM,A,UNK,"1 S. Dearborn, west side",Chicago,Collision - building,Euthanized after 24 hours
2016-00283,American Woodcock,18.03.2016,3/18/16 6:25 AM,A,UNK,"Dirksen, east side",Chicago,Collision - building,Released
2016-00284,American Woodcock,18.03.2016,3/18/16 5:25 AM,A,UNK,"150 S. Wacker, no side",Chicago,Collision - building,Euthanized after 24 hours
2016-00285,Long-eared Owl,18.03.2016,3/18/16 AM,A,UNK,,Yorkville,Unknown,Transferred
2016-00288,Yellow-shafted Flicker,18.03.2016,3/18/16 7:45 AM,A,M,"100 N. Michigan, south side",Chicago,Collision - building,Released
2016-00289,American Woodcock,18.03.2016,3/18/16 7:52 AM,A,UNK,"150 S. Wacker, north side",Chicago,Collision - building,Released
2016-00290,Long-eared Owl,18.03.2016,3/18/16 12 PM,A,UNK,Prudential Bldg 1- E,Chicago,Collision - building,Euthanized after 24 hours
2016-00291,Canada Goose,18.03.2016,3/18/16 1:30 PM,A,F,4150 Litt,Hillside,Unknown,Euthanized after 24 hours
2016-00292,American Woodcock,18.03.2016,3/8/16 12:15 PM,A,UNK,"Clark & Lake, E Side",Chicago,Collision - building,Released
2016-00295,Canada Goose,18.03.2016,3/18/16 PM,A,UNK,2530 Braga Drive,Broadview,Collision - car,Euthanized within 24 hour of admit
2016-00296,Canada Goose,19.03.2016,3/18/16 6 PM,A,UNK,2900 S Halsted,Chicago,Unknown,Released
2016-00299,Brown Creeper,19.03.2016,3/19/16 7:50 AM,A,UNK,"350 E. South Water St, north si",Chicago,Collision - building,Died within 24 hours
2016-00300,Slate-colored Junco,19.03.2016,3/19/16 7:20 AM,A,M,"233 N. Michigan, west side",Chicago,Collision - building,Released
2016-00302,Great Horned Owl,19.03.2016,3/19/16 PM,N,UNK,17960 Hunt Club Drive,Homer Glen,Fell from nest,Returned to Wild
2016-00308,American Woodcock,20.03.2016,3/19/16 10:30 AM,A,UNK,1330 E. 53rd St - S SD BLDG,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00310,Slate-colored Junco,20.03.2016,3/20/16 6:50 AM,A,M,Daley Plaza (S sd),Chicago,Collision - building,Released
2016-00311,American Robin,20.03.2016,3/20/16 8:15 AM,A,F,30 N LaSalle (E sd),Chicago,Collision - building,Released
2016-00313,American Woodcock,21.03.2016,3/20/16 11:30 AM,A,UNK,"55 E Jackson, N Side",Chicago,Collision - building,Dead on arrival
2016-00316,Ring-billed Gull,21.03.2016,3/20/16,A,UNK,Montrose dune,Chicago,Unknown,Euthanized within 24 hour of admit
2016-00317,Ring-billed Gull,21.03.2016,not given,UNK,UNK,paid beach,Evanston,Unknown,Died before exam
2016-00318,American Woodcock,21.03.2016,3/20/16 5 PM,A,UNK,"Loyola - 25 E Pearson, north side",Chicago,Collision - building,Released
2016-00323,Ring-billed Gull,22.03.2016,3/21/16 4:40 PM,A,UNK,"1455 N Maplewood, no side",Chicago,Entanglement - string,Released
2016-00324,Fox Sparrow,22.03.2016,3/22/16 7:35 AM,A,UNK,"77 W Wacker (intersection Wacker & Clark), west side",Chicago,Collision - building,Died within 24 hours
2016-00326,Common Grackle,22.03.2016,3/22/16 9:10 AM,A,UNK,Dirthsen (E sd),Chicago,Collision - building,Released
2016-00329,Brown Creeper,23.03.2016,3/22/16 6:15 PM,A,UNK,"WElls and Lake, no side",Chicago,Collision - building,Died within 24 hours
2016-00330,American Woodcock,23.03.2016,3/21/16 10 PM,A,UNK,"1230 W. ALbion, no side",Chicago,Collision - building,Died within 24 hours
2016-00331,American Woodcock,23.03.2016,3/22/16 1 PM,A,UNK,Glenlake and Winthrop,Chicago,Collision - building,Released
2016-00334,Slate-colored Junco,23.03.2016,3/22/16 2:45 PM,A,M,NEU/ El Centro (N. sd),Chicago,Collision - building,Released
2016-00338,Yellow-bellied Sapsucker,23.03.2016,3/23/16 8 AM,A,M,"Willis Tower, east side",Chicago,Collision - building,Released
2016-00349,Brown Creeper,24.03.2016,3/23/16 4 PM,UNK,UNK,"1127 N Oakley, W side",Chicago,Collision - building,Died within 24 hours
2016-00350,American Tree Sparrow,24.03.2016,3/23/16 3 PM,A,UNK,St. Stan School,Chicago,Collision - building,Died after 24 hrs
2016-00354,Turkey,25.03.2016,3/24/16 PM,A,UNK,1254 Pottawatomie Court,Long Grove,Unknown,Dead on arrival
2016-00361,American Woodcock,25.03.2016,3/25/16 7:30 AM,A,UNK,"120 S. Riverside, west side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00362,American Woodcock,25.03.2016,3/25/16 8:45 AM,A,UNK,"633 N. St. Claire, west side",Chicago,Collision - building,Died after 24 hrs
2016-00363,American Woodcock,25.03.2016,3/25/16 7:40 AM,A,UNK,"Dirksen, west side",Chicago,Collision - building,Released
2016-00370,American Woodcock,26.03.2016,3/25/16 10 AM,UNK,UNK,"1 N. Franklin, east side",Chicago,Collision - building,Died within 24 hours
2016-00373,Golden-crowned Kinglet,26.03.2016,3/26/16 7:05 AM,A,M,"300 S. Riverside, west side",Chicago,Collision - building,Released
2016-00375,Red-tailed Hawk,26.03.2016,3/26/16 10 AM,A,UNK,39W832 Dairy Herd Lane,St. Charles,Unknown,Euthanized after 24 hours
2016-00377,American Woodcock,26.03.2016,3/25/16 2:21 PM,A,UNK,"3223 S. May Street, west side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00378,Cooper's Hawk,26.03.2016,3/26/16 8:30 AM,A,UNK,"Central S. at 290, no side",Chicago,Unknown,Euthanized within 24 hour of admit
2016-00379,Slate-colored Junco,26.03.2016,3/26/16 7:15 AM,A,UNK,"101 N. Wacker, east side",Chicago,Collision - building,Euthanized after 24 hours
2016-00380,American Woodcock,26.03.2016,3/26/16 6:15 AM,A,UNK,"150 S. Wacker, west side",Chicago,Collision - building,Died within 24 hours
2016-00387,Yellow-shafted Flicker,27.03.2016,3/27/16 7:10 AM,A,UNK,191 N. Wacker (S-sd),Chicago,Collision - building,Released
2016-00388,American Woodcock,27.03.2016,3/27/16 5:32 AM,A,UNK,Pru 2 (W-sd),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00389,Golden-crowned Kinglet,27.03.2016,3/27/16 7:10 AM,A,M,"200 W Madison, south side",Chicago,Collision - building,Died within 24 hours
2016-00390,Yellow-bellied Sapsucker,27.03.2016,3/27/16 10:50 AM,A,M,"311 S W Wacker, north side",Chicago,Collision - building,Died after 24 hrs
2016-00391,Golden-crowned Kinglet,27.03.2016,3/27/16 6:40 AM,A,F,"333 W Wacker, east side",Chicago,Collision - building,Died within 24 hours
2016-00392,American Woodcock,27.03.2016,3/27/16 6:05 AM,A,UNK,"525 W Monroe, north side",Chicago,Collision - building,Released
2016-00393,Slate-colored Junco,27.03.2016,3/27/16 8 AM,A,UNK,"77 W Jackson, west side",Chicago,Collision - building,Released
2016-00394,Slate-colored Junco,27.03.2016,3/27/16 6:45 AM,A,UNK,"333 W Wacker, east side",Chicago,Collision - building,Released
2016-00395,Brown Creeper,27.03.2016,3/27/16 7:35 AM,A,UNK,"233 N Michigan, south side",Chicago,Collision - building,Released
2016-00396,Golden-crowned Kinglet,27.03.2016,3/27/16 7:50 AM,A,F,"333 W  Wacker, no side",Chicago,Collision - building,Released
2016-00397,Golden-crowned Kinglet,27.03.2016,3/27/16 7 AM,A,M,"Citigroup Bldg -300 W Madison, south side",Chicago,Collision - building,Released
2016-00398,Golden-crowned Kinglet,27.03.2016,3/27/16 7:31 AM,A,M,"300 S Riverside Plaza, west sid",Chicago,Collision - building,Released
2016-00402,Brown Creeper,28.03.2016,3/28/16 7:05 AM,A,UNK,303 E. Wacker (E sd),Chicago,Collision - building,Released
2016-00403,Brown Creeper,28.03.2016,3/28/16 7:04 AM,A,UNK,Inland Steel Buildings (N-sd),Chicago,Collision - building,Released
2016-00404,American Robin,28.03.2016,3/28/16 8:30 AM,A,M,"2529 N Talman, east side",Chicago,Collision - car,Released
2016-00405,Yellow-shafted Flicker,28.03.2016,3/28/16 8 AM,A,M,"corner Huron/St Claire, sw",Chicago,Collision - car,Died within 24 hours
2016-00406,Brown Creeper,28.03.2016,3/28/16 7:45 AM,UNK,UNK,"205 MI Plaza, north side",Chicago,Collision - car,Dead on arrival
2016-00407,Brown Creeper,28.03.2016,3/28/16 AM,A,UNK,"155 N Wacker, south side",Chicago,Collision - car,Dead on arrival
2016-00408,American Woodcock,28.03.2016,3/28/16 8 AM,A,UNK,1000 W. Fulton Mkt,Chicago,Collision - building,Released
2016-00414,Brown Creeper,28.03.2016,3/28/16 12 PM,A,UNK,Hyatt Ctr,Chicago,Collision - building,Dead on arrival
2016-00416,Brown Creeper,29.03.2016,3/28/16 3:45 PM,A,UNK,8006 Long,Burbank,Unknown,Died within 24 hours
2016-00417,Slate-colored Junco,29.03.2016,3/28/16 11:30 AM,A,M,Lincoln Park,Chicago,Trap - other,Euthanized after 24 hours
2016-00429,House Sparrow,29.03.2016,3/29/16 7 AM,A,UNK,"131 S Dearborn, State St side",Chicago,Unknown,Died before exam
2016-00443,American Woodcock,30.03.2016,3/30/16 8:05 AM,A,UNK,200 W. Wacker (S sd-deck),Chicago,Collision - building,Released
2016-00444,American Woodcock,30.03.2016,3/30/16 8 AM,A,UNK,Chase Plaza (SW corner),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00450,Slate-colored Junco,30.03.2016,3/30/16,A,F,"225 Michigan Plaza, west side",Chicago,Collision - building,Released
2016-00451,Brown Creeper,30.03.2016,3/30/16,A,UNK,"353 N. Clark, no side",Chicago,Collision - building,Released
2016-00452,Golden-crowned Kinglet,30.03.2016,3/30/16,A,M,"Citi, west side",Chicago,Collision - building,Released
2016-00453,Yellow-shafted Flicker,30.03.2016,3/30/16,A,M,"233 Michigan Plaza, east side",Chicago,Collision - building,Released
2016-00454,Yellow-shafted Flicker,30.03.2016,3/30/16,A,M,"77 W. Wacker, north side",Chicago,Collision - building,Released
2016-00460,Golden-crowned Kinglet,31.03.2016,3/30/16 7:30 AM,A,F,Loyola University,Chicago,Collision - building,Died within 24 hours
2016-00461,Yellow-bellied Sapsucker,31.03.2016,3/30/16 12 PM,A,M,"Peterson & Western, inalley",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00462,Brown Creeper,31.03.2016,3/30/16,A,UNK,353 N Clark,Chicago,Collision - building,Released
2016-00463,Yellow-bellied Sapsucker,31.03.2016,3/30/16,A,UNK,30 N LaSalle - North,Chicago,Collision - building,Died after 24 hrs
2016-00464,Slate-colored Junco,31.03.2016,3/30/16,A,UNK,300 n LaSalle - South,Chicago,Collision - building,Died after 24 hrs
2016-00471,American Woodcock,31.03.2016,3/30/16,A,UNK,,Chicago,Collision - building,Released
2016-00472,Fox Sparrow,31.03.2016,3/30/16,A,UNK,1511 W 38th St,Chicago,Collision - building,Released
2016-00473,Slate-colored Junco,31.03.2016,3/30/16 9 AM,A,F,Sears,Chicago,Collision - building,Released
2016-00480,American Woodcock,01.04.2016,3/31/16 1:40 PM,A,UNK,55 W Wacker - S,Chicago,Collision - building,Died within 24 hours
2016-00481,Virginia Rail,01.04.2016,3/31/16 10:36 AM,A,UNK,61 E Madison - N,Chicago,Collision - window,Released
2016-00486,Ring-billed Gull,01.04.2016,3/31/16 10 AM,A,UNK,47th & Indiana,Chicago,Collision - building,Dead on arrival
2016-00491,Yellow-bellied Sapsucker,01.04.2016,4/1/16 4:10 PM,A,F,not given,Burr Ridge,Collision - window,Died after 24 hrs
2016-00495,Cooper's Hawk,02.04.2016,4/1/16 5 PM,A,UNK,451 N Highland,Elmhurst,Unknown,Euthanized within 24 hour of admit
2016-00496,American Woodcock,02.04.2016,4/1/16 1:15 PM,A,UNK,"600 W. Adams, no side given",Chicago,Collision - building,Released
2016-00498,American Robin,02.04.2016,4/2/16 7:40 AM,A,UNK,303 Wacker,Chicago,Collision - window,Released
2016-00499,Yellow-bellied Sapsucker,02.04.2016,4/1/16 4:40 PM,A,M,500 W Madison - S,Chicago,Collision - window,Released
2016-00504,Great Blue Heron,03.04.2016,4/3/16 10 AM,A,UNK,Highlake and Windamre,Winfield,Collision - car,Euthanized within 24 hour of admit
2016-00508,Mouring Dove,03.04.2016,4/2/16 11:30 PM,A,UNK,225 S. Harvard,Villa Park,Unknown,Euthanized after 24 hours
2016-00509,Purple Gallinule,03.04.2016,4/2/16 4:45 PM,A,UNK,9335 S. Loomis,Beverly,Collision - building,Released
2016-00510,Yellow-shafted Flicker,03.04.2016,4/2/16 1:50 AM,A,M,225 S/ Praire (N side),Chicago,Collision - building,Released
2016-00515,American Woodcock,04.04.2016,4/4/16 8:30 AM,A,UNK,171 N. Clark (East sd),Chicago,Collision - building,Died within 24 hours
2016-00529,Canada Goose,04.04.2016,4/4/16 5 PM,A,UNK,Gunderson and President,Carol Stream,Collision - car,Euthanized within 24 hour of admit
2016-00531,American Robin,05.04.2016,4/5/16 8:30 AM,A,UNK,"53rd and Greeenwood, no side",Chicago,Unknown,Died within 24 hours
2016-00535,Cooper's Hawk,05.04.2016,4/4/16 PM,A,UNK,235 Pepperridge Circle,Streamwood,Unknown,Dead on arrival
2016-00552,Herring Gull,06.04.2016,4/6/16 12 PM,A,UNK,9621 W. Palmer,Melrose Park,Unknown,Euthanized within 24 hour of admit
2016-00553,American Woodcock,06.04.2016,4/6/16 6:29 AM,A,UNK,235 W. Randolph (North Sd),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00554,Yellow-bellied Sapsucker,06.04.2016,4/6/16 8 AM,A,UNK,208 W. Washington,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00555,Hermit Thrush,06.04.2016,4/6/16 9 AM,A,UNK,111 E. Wacker (East Sd),Chicago,Collision - building,Released
2016-00556,Yellow-shafted Flicker,06.04.2016,4/6/16 10 AM,A,UNK,1207 N. Wells,Chicago,Collision - building,Euthanized after 24 hours
2016-00557,Belted Kingfisher,06.04.2016,4/6/16 8:15 AM,A,F,1 S. Waker (North Sd),Chicago,Collision - building,Released
2016-00558,House Sparrow,06.04.2016,4/5/16 4:30 PM,A,UNK,7801 Luna,Morton Grove,Collision - building,Dead on arrival
2016-00562,American Woodcock,06.04.2016,4/6/16 11 AM,A,UNK,850 S. Walbash (E sd),Chicago,Collision - building,Released
2016-00569,Yellow-shafted Flicker,06.04.2016,4/6/16,A,F,30 N. LaSalle,Chicago,Collision - building,Released
2016-00570,Yellow-bellied Sapsucker,06.04.2016,4/5/16 9:35 AM,A,M,230 W. Monroe  (in lobby),Chicago,Collision - building,Released
2016-00571,Song Sparrow,06.04.2016,4/6/16 5:50 AM,A,UNK,Prudential Plaza (N sd),Chicago,Collision - building,Released
2016-00572,Brown Creeper,06.04.2016,4/6/16 9:15 AM,A,UNK,3429 W. 47th St. (N sd),Chicago,Collision - building,Released
2016-00573,Yellow-bellied Sapsucker,06.04.2016,4/6/16 7:30 AM,A,M,Kluczunski (E sd),Chicago,Collision - building,Released
2016-00574,Yellow-bellied Sapsucker,06.04.2016,4/6/16 7:25 AM,A,M,Klyczinski (E sd),Chicago,Collision - building,Released
2016-00575,Brown Creeper,06.04.2016,4/6/16 7:13 AM,A,UNK,175 Harbor Parkshore Condo (E ),Chicago,Collision - building,Released
2016-00576,Brown Creeper,06.04.2016,4/6/16,A,UNK,"3429 W. 47th Street, north side",Chicago,Collision - building,Released
2016-00577,Brown Creeper,06.04.2016,4/6/16,A,UNK,"300 N. LaSalle, south side",Chicago,Collision - building,Released
2016-00578,Yellow-bellied Sapsucker,06.04.2016,4/6/16,A,M,"SWissotel, north side",Chicago,Collision - building,Released
2016-00579,Brown Creeper,06.04.2016,4/6/16,A,UNK,"333 W. Wacker, south side",Chicago,Collision - building,Released
2016-00580,Ruby-crowned Kinglet,06.04.2016,4/6/16,A,UNK,"205 Michigan Plaza, north side",Chicago,Collision - building,Released
2016-00581,Brown Creeper,06.04.2016,4/6/16,A,UNK,"225 N. Michigan, east side",Chicago,Collision - building,Released
2016-00582,Hermit Thrush,06.04.2016,4/6/16,A,UNK,"111 E. WAcker, NE side",Chicago,Collision - building,Released
2016-00586,Red-tailed Hawk,07.04.2016,4/6/16 5:30 PM,A,UNK,453 Main Street,Antioch,Unknown,Euthanized after 24 hours
2016-00587,American Woodcock,07.04.2016,4/7/16 9:30 AM,A,UNK,"20 N. Clark, east side",Chicago,Collision - building,Died within 24 hours
2016-00588,American Woodcock,07.04.2016,4/7/16 6:40 AM,A,UNK,"Prudential, west side",Chicago,Collision - building,Released
2016-00589,Brown Creeper,07.04.2016,4/7/16 7:40 AM,A,UNK,"233 N. Michigan, south side",Chicago,Collision - building,Died before exam
